kind,candidate,vertices,edges,variables,clauses,status,seconds
vertex,1,516,2543,2064,13784,SAT,0.051528
vertex,2,516,2562,2064,13860,SAT,0.007553
vertex,3,516,2562,2064,13860,SAT,0.013159
vertex,4,516,2562,2064,13860,SAT,0.060032
vertex,5,516,2562,2064,13860,SAT,0.021992
vertex,6,516,2562,2064,13860,SAT,0.043398
vertex,7,516,2562,2064,13860,SAT,0.030941
vertex,8,516,2564,2064,13868,SAT,0.007211
vertex,9,516,2569,2064,13888,SAT,0.022070
vertex,10,516,2568,2064,13884,SAT,0.216089
vertex,11,516,2567,2064,13880,SAT,0.066041
vertex,12,516,2567,2064,13880,SAT,0.077789
vertex,13,516,2567,2064,13880,SAT,0.048143
vertex,14,516,2562,2064,13860,SAT,0.054430
vertex,15,516,2571,2064,13896,SAT,0.013113
vertex,16,516,2573,2064,13904,SAT,0.729154
vertex,17,516,2571,2064,13896,SAT,0.021667
vertex,18,516,2574,2064,13908,SAT,0.203101
vertex,19,516,2572,2064,13900,SAT,0.217233
vertex,20,516,2571,2064,13896,SAT,0.042727
vertex,21,516,2570,2064,13892,SAT,0.162897
vertex,22,516,2570,2064,13892,SAT,0.821062
vertex,23,516,2567,2064,13880,SAT,0.056363
vertex,24,516,2567,2064,13880,SAT,0.103303
vertex,25,516,2562,2064,13860,SAT,0.070688
vertex,26,516,2564,2064,13868,SAT,0.057108
vertex,27,516,2568,2064,13884,SAT,0.161277
vertex,28,516,2568,2064,13884,SAT,0.018427
vertex,29,516,2567,2064,13880,SAT,0.024152
vertex,30,516,2571,2064,13896,SAT,0.014019
vertex,31,516,2573,2064,13904,SAT,0.146254
vertex,32,516,2571,2064,13896,SAT,0.105467
vertex,33,516,2571,2064,13896,SAT,0.210471
vertex,34,516,2570,2064,13892,SAT,0.021179
vertex,35,516,2572,2064,13900,SAT,0.155780
vertex,36,516,2570,2064,13892,SAT,0.183390
vertex,37,516,2566,2064,13876,SAT,0.020323
vertex,38,516,2569,2064,13888,SAT,0.017010
vertex,39,516,2569,2064,13888,SAT,0.026141
vertex,40,516,2570,2064,13892,SAT,0.052861
vertex,41,516,2567,2064,13880,SAT,0.038736
vertex,42,516,2570,2064,13892,SAT,0.016350
vertex,43,516,2571,2064,13896,SAT,0.216924
vertex,44,516,2571,2064,13896,SAT,0.350706
vertex,45,516,2570,2064,13892,SAT,0.321547
vertex,46,516,2570,2064,13892,SAT,0.224064
vertex,47,516,2572,2064,13900,SAT,0.062291
vertex,48,516,2572,2064,13900,SAT,0.080870
vertex,49,516,2570,2064,13892,SAT,0.156462
vertex,50,516,2569,2064,13888,SAT,0.014241
vertex,51,516,2572,2064,13900,SAT,0.058351
vertex,52,516,2570,2064,13892,SAT,0.300739
vertex,53,516,2570,2064,13892,SAT,0.553788
vertex,54,516,2569,2064,13888,SAT,0.221531
vertex,55,516,2572,2064,13900,SAT,0.120760
vertex,56,516,2572,2064,13900,SAT,0.094480
vertex,57,516,2568,2064,13884,SAT,0.066120
vertex,58,516,2567,2064,13880,SAT,0.533936
vertex,59,516,2564,2064,13868,SAT,0.060252
vertex,60,516,2560,2064,13852,SAT,0.065424
vertex,61,516,2574,2064,13908,SAT,0.016853
vertex,62,516,2567,2064,13880,SAT,0.043619
vertex,63,516,2559,2064,13848,SAT,0.067218
vertex,64,516,2564,2064,13868,SAT,0.017158
vertex,65,516,2574,2064,13908,SAT,0.678371
vertex,66,516,2574,2064,13908,SAT,0.012949
vertex,67,516,2569,2064,13888,SAT,0.065134
vertex,68,516,2572,2064,13900,SAT,0.389226
vertex,69,516,2566,2064,13876,SAT,0.144164
vertex,70,516,2566,2064,13876,SAT,0.049708
vertex,71,516,2570,2064,13892,SAT,0.869164
vertex,72,516,2574,2064,13908,SAT,0.036791
vertex,73,516,2566,2064,13876,SAT,0.017193
vertex,74,516,2559,2064,13848,SAT,0.014914
vertex,75,516,2565,2064,13872,SAT,0.043436
vertex,76,516,2572,2064,13900,SAT,0.125631
vertex,77,516,2569,2064,13888,TIMEOUT,2.063823
vertex,78,516,2567,2064,13880,SAT,0.329785
vertex,79,516,2565,2064,13872,SAT,0.027228
vertex,80,516,2560,2064,13852,SAT,0.031802
vertex,81,516,2573,2064,13904,SAT,0.126981
vertex,82,516,2574,2064,13908,SAT,0.116802
vertex,83,516,2567,2064,13880,SAT,0.018491
vertex,84,516,2570,2064,13892,SAT,0.179524
vertex,85,516,2565,2064,13872,SAT,0.017384
vertex,86,516,2568,2064,13884,SAT,0.078197
vertex,87,516,2572,2064,13900,SAT,0.087790
vertex,88,516,2572,2064,13900,SAT,0.087153
vertex,89,516,2566,2064,13876,SAT,0.006346
vertex,90,516,2572,2064,13900,SAT,0.100736
vertex,91,516,2567,2064,13880,SAT,0.006993
vertex,92,516,2569,2064,13888,SAT,0.091567
vertex,93,516,2569,2064,13888,SAT,0.198880
vertex,94,516,2564,2064,13868,SAT,0.061047
vertex,95,516,2572,2064,13900,SAT,0.023732
vertex,96,516,2571,2064,13896,SAT,0.069255
vertex,97,516,2572,2064,13900,SAT,0.157003
vertex,98,516,2569,2064,13888,SAT,0.024662
vertex,99,516,2569,2064,13888,SAT,0.199640
vertex,100,516,2565,2064,13872,SAT,0.033378
vertex,101,516,2567,2064,13880,SAT,0.013619
