edge,status,seconds,clauses,returncode
1:3,NOT_VERIFIED,1.533372,13919,1
1:4,NOT_VERIFIED,0.183402,13919,1
1:5,NOT_VERIFIED,1.822100,13919,1
1:7,NOT_VERIFIED,0.177675,13919,1
1:60,NOT_VERIFIED,0.297905,13919,1
1:63,NOT_VERIFIED,0.194962,13919,1
1:74,NOT_VERIFIED,0.223840,13919,1
1:80,NOT_VERIFIED,0.367167,13919,1
1:93,NOT_VERIFIED,1.686779,13919,1
1:99,NOT_VERIFIED,1.835291,13919,1
1:185,NOT_VERIFIED,0.271763,13919,1
1:191,NOT_VERIFIED,1.661589,13919,1
1:203,NOT_VERIFIED,1.455620,13919,1
1:206,NOT_VERIFIED,0.185088,13919,1
1:219,NOT_VERIFIED,1.848836,13919,1
1:230,NOT_VERIFIED,0.184469,13919,1
1:307,NOT_VERIFIED,1.748253,13919,1
1:314,NOT_VERIFIED,0.469151,13919,1
1:316,NOT_VERIFIED,1.267139,13919,1
1:372,NOT_VERIFIED,1.845849,13919,1
1:379,NOT_VERIFIED,1.296919,13919,1
1:381,NOT_VERIFIED,0.231603,13919,1
1:401,NOT_VERIFIED,0.171134,13919,1
1:402,NOT_VERIFIED,0.171934,13919,1
1:403,NOT_VERIFIED,0.154374,13919,1
1:404,NOT_VERIFIED,0.727641,13919,1
1:405,NOT_VERIFIED,0.145153,13919,1
1:406,NOT_VERIFIED,0.168910,13919,1
1:407,NOT_VERIFIED,0.143010,13919,1
1:408,NOT_VERIFIED,0.141416,13919,1
1:409,NOT_VERIFIED,0.212382,13919,1
1:410,NOT_VERIFIED,0.133284,13919,1
1:411,NOT_VERIFIED,0.135495,13919,1
1:412,NOT_VERIFIED,0.143435,13919,1
2:7,NOT_VERIFIED,0.159290,13919,1
2:234,NOT_VERIFIED,0.639364,13919,1
2:235,NOT_VERIFIED,0.177939,13919,1
2:240,NOT_VERIFIED,1.490154,13919,1
2:243,NOT_VERIFIED,1.527638,13919,1
2:251,NOT_VERIFIED,0.221137,13919,1
2:253,NOT_VERIFIED,0.174707,13919,1
2:256,NOT_VERIFIED,0.165159,13919,1
2:261,NOT_VERIFIED,0.231718,13919,1
2:354,NOT_VERIFIED,0.449555,13919,1
2:359,NOT_VERIFIED,1.387870,13919,1
3:5,NOT_VERIFIED,1.860819,13919,1
3:7,NOT_VERIFIED,0.168302,13919,1
3:41,NOT_VERIFIED,1.715506,13919,1
3:62,NOT_VERIFIED,1.545549,13919,1
3:70,NOT_VERIFIED,0.273705,13919,1
3:71,NOT_VERIFIED,1.777040,13919,1
3:77,NOT_VERIFIED,0.273552,13919,1
3:78,NOT_VERIFIED,1.455655,13919,1
3:86,NOT_VERIFIED,1.595881,13919,1
3:87,NOT_VERIFIED,1.587106,13919,1
3:340,NOT_VERIFIED,1.805509,13919,1
4:5,NOT_VERIFIED,1.807650,13919,1
4:6,NOT_VERIFIED,0.412671,13919,1
4:57,NOT_VERIFIED,0.735556,13919,1
4:58,NOT_VERIFIED,1.654239,13919,1
4:67,NOT_VERIFIED,0.664743,13919,1
4:68,NOT_VERIFIED,2.002936,13919,1
4:73,NOT_VERIFIED,1.018749,13919,1
4:83,NOT_VERIFIED,0.277639,13919,1
4:84,NOT_VERIFIED,1.710637,13919,1
10:24,NOT_VERIFIED,1.814089,13919,1
10:51,NOT_VERIFIED,2.059945,13919,1
10:111,NOT_VERIFIED,1.931044,13919,1
10:145,NOT_VERIFIED,1.789512,13919,1
10:220,NOT_VERIFIED,1.988406,13919,1
10:249,NOT_VERIFIED,1.688356,13919,1
10:267,NOT_VERIFIED,1.157490,13919,1
10:275,NOT_VERIFIED,1.652111,13919,1
10:338,NOT_VERIFIED,1.713213,13919,1
10:347,NOT_VERIFIED,2.078963,13919,1
10:353,NOT_VERIFIED,1.982806,13919,1
11:4,NOT_VERIFIED,1.559944,13919,1
11:23,NOT_VERIFIED,2.021589,13919,1
11:29,NOT_VERIFIED,1.654144,13919,1
11:37,NOT_VERIFIED,1.926330,13919,1
11:70,NOT_VERIFIED,0.813921,13919,1
11:146,NOT_VERIFIED,2.035569,13919,1
11:177,NOT_VERIFIED,1.794666,13919,1
11:251,NOT_VERIFIED,0.234215,13919,1
11:276,NOT_VERIFIED,1.937101,13919,1
11:281,NOT_VERIFIED,1.652578,13919,1
11:336,NOT_VERIFIED,1.804630,13919,1
11:359,NOT_VERIFIED,1.703774,13919,1
12:27,NOT_VERIFIED,1.910172,13919,1
12:29,NOT_VERIFIED,1.874750,13919,1
12:38,NOT_VERIFIED,1.920827,13919,1
12:71,NOT_VERIFIED,1.746684,13919,1
12:178,NOT_VERIFIED,2.012246,13919,1
12:218,NOT_VERIFIED,1.100386,13919,1
12:254,NOT_VERIFIED,0.225930,13919,1
12:267,NOT_VERIFIED,0.505103,13919,1
12:279,NOT_VERIFIED,1.985245,13919,1
12:339,NOT_VERIFIED,1.127986,13919,1
12:356,NOT_VERIFIED,2.114559,13919,1
13:26,NOT_VERIFIED,2.072784,13919,1
13:28,NOT_VERIFIED,1.781452,13919,1
13:69,NOT_VERIFIED,1.626514,13919,1
13:164,NOT_VERIFIED,2.061289,13919,1
13:220,NOT_VERIFIED,1.813532,13919,1
13:272,NOT_VERIFIED,2.177794,13919,1
13:274,NOT_VERIFIED,1.900069,13919,1
13:278,NOT_VERIFIED,2.099380,13919,1
13:344,NOT_VERIFIED,2.022574,13919,1
13:349,NOT_VERIFIED,2.032455,13919,1
13:357,NOT_VERIFIED,1.933515,13919,1
14:3,NOT_VERIFIED,3.187691,13919,1
14:25,NOT_VERIFIED,1.641962,13919,1
14:26,NOT_VERIFIED,1.684505,13919,1
14:43,NOT_VERIFIED,1.693462,13919,1
14:52,NOT_VERIFIED,2.078302,13919,1
14:67,NOT_VERIFIED,1.463050,13919,1
14:148,NOT_VERIFIED,2.175085,13919,1
14:165,NOT_VERIFIED,1.841859,13919,1
14:219,NOT_VERIFIED,1.872431,13919,1
14:222,NOT_VERIFIED,1.853868,13919,1
14:253,NOT_VERIFIED,0.224850,13919,1
14:280,NOT_VERIFIED,1.777035,13919,1
14:283,NOT_VERIFIED,1.930692,13919,1
14:350,NOT_VERIFIED,2.265280,13919,1
14:354,NOT_VERIFIED,1.590593,13919,1
15:57,NOT_VERIFIED,0.578723,13919,1
15:60,NOT_VERIFIED,0.159597,13919,1
15:65,NOT_VERIFIED,0.154738,13919,1
15:67,NOT_VERIFIED,0.491008,13919,1
15:377,NOT_VERIFIED,0.153403,13919,1
15:379,NOT_VERIFIED,0.282814,13919,1
16:64,NOT_VERIFIED,1.225149,13919,1
16:70,NOT_VERIFIED,2.022272,13919,1
16:88,NOT_VERIFIED,1.274701,13919,1
16:378,NOT_VERIFIED,2.142757,13919,1
16:382,NOT_VERIFIED,1.784234,13919,1
17:62,NOT_VERIFIED,1.280811,13919,1
17:63,NOT_VERIFIED,0.168122,13919,1
17:66,NOT_VERIFIED,0.227755,13919,1
17:70,NOT_VERIFIED,1.108289,13919,1
17:378,NOT_VERIFIED,0.181857,13919,1
17:381,NOT_VERIFIED,0.185891,13919,1
18:60,NOT_VERIFIED,0.235013,13919,1
18:64,NOT_VERIFIED,0.196041,13919,1
18:69,NOT_VERIFIED,0.191325,13919,1
18:381,NOT_VERIFIED,0.876967,13919,1
18:396,NOT_VERIFIED,0.135967,13919,1
19:89,NOT_VERIFIED,2.194245,13919,1
19:286,NOT_VERIFIED,1.988294,13919,1
19:289,NOT_VERIFIED,1.955832,13919,1
